0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,7
0,0,9
0,0,10
0,0,12
0,0,13
0,0,14
0,0,15
0,0,20
0,0,21
0,0,30
0,0,31
0,0,35
0,0,36
0,0,37
0,0,38
0,0,41
0,0,58
0,0,59
0,0,60
0,0,62
0,1,0
0,1,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,7
0,1,9
0,1,10
0,1,12
0,1,13
0,1,14
0,1,15
0,1,20
0,1,21
0,1,30
0,1,31
0,1,35
0,1,36
0,1,37
0,1,38
0,1,41
0,1,58
0,1,59
0,1,60
0,1,62
0,2,0
0,2,1
0,2,2
0,2,3
0,2,4
0,2,5
0,2,7
0,2,9
0,2,10
0,2,12
0,2,13
0,2,14
0,2,15
0,2,20
0,2,21
0,2,30
0,2,31
0,2,35
0,2,36
0,2,37
0,2,38
0,2,41
0,2,58
0,2,59
0,2,60
0,2,62
0,7,6
0,7,8
0,7,11
0,7,27
0,7,28
0,7,29
0,7,32
0,7,33
0,7,34
0,7,46
0,7,47
0,7,50
0,7,63
0,9,6
0,9,8
0,9,11
0,9,27
0,9,28
0,9,29
0,9,32
0,9,33
0,9,34
0,9,46
0,9,47
0,9,50
0,9,63
0,10,6
0,10,8
0,10,11
0,10,27
0,10,28
0,10,29
0,10,32
0,10,33
0,10,34
0,10,46
0,10,47
0,10,50
0,10,63
0,12,0
0,12,1
0,12,2
0,12,7
0,12,9
0,12,10
0,12,12
0,12,13
0,12,14
0,12,15
0,12,20
0,12,21
0,13,0
0,13,1
0,13,2
0,13,7
0,13,9
0,13,10
0,13,12
0,13,13
0,13,14
0,13,15
0,13,20
0,13,21
0,14,0
0,14,1
0,14,2
0,14,7
0,14,9
0,14,10
0,14,12
0,14,13
0,14,14
0,14,15
0,14,21
0,15,16
0,15,17
0,15,18
0,15,48
0,15,49
0,15,51
0,15,56
0,15,57
0,15,61
